article_id,annotator,node,ranges,tokens,label,id
5d04a31b896a7fea069ef06f,B,43,"[[4020, 4073]]",torna a informação sobre a FIFA imensamente divertida,Value(+),35
5d04a31b896a7fea069ef06f,D,0,"[[2516, 2556]]",O facto não é apenas fruto da ignorância,Value,36
5d04a31b896a7fea069ef06f,D,1,"[[2568, 2806]]","havia no seu humor mais jornalismo (mais investigação, mais preocupação em aprofundar e contextualizar a história, mais isenção no relato, mais preocupação social, mais urgência de denunciar) do que em muitas peças realmente jornalísticas",Fact,37
5d04a31b896a7fea069ef06f,D,3,"[[3169, 3190]]",É tudo cómico na FIFA,Value(-),38
5d04a31b896a7fea069ef06f,D,4,"[[3198, 3285]]",o que todos nós permitimos que esta organização faça é totalmente absurdo e sem sentido,Value(-),39
5d04a31b896a7fea069ef06f,D,6,"[[3306, 3327]]",É tudo cómico na FIFA,Value(-),40
5d04a31b896a7fea069ef06f,D,7,"[[3335, 3397]]",todos os dias a FIFA nos espeta com uma tarte de creme na cara,Value,41
5d04a31b896a7fea069ef06f,D,8,"[[3401, 3435]]","como sabemos, isso é sempre cómico",Value(-),42
5d04a31b896a7fea069ef06f,D,10,"[[3438, 3473]]",Oliver é humorista e não jornalista,Value,43
5d04a31b896a7fea069ef06f,D,11,"[[3479, 3623]]",é interessante verificar como é cada vez mais frequente que as verdades surjam nos programas de humor e a propaganda nos programas jornalísticos,Fact,44
5d04a31b896a7fea069ef06f,D,13,"[[3625, 3711]]","Sim, eu sei que já foram publicados trabalhos jornalísticos sobre o lado negro da FIFA",Value,45
5d04a31b896a7fea069ef06f,D,14,"[[3713, 3760]]",O problema é que são infinitamente minoritários,Fact,46
5d04a31b896a7fea069ef06f,D,15,"[[3764, 3922]]","depois disso, toda a comunidade jornalística continua a tratar a FIFA como uma organização idónea e os seus campeonatos como os mais benignos eventos do mundo",Fact,47
5d04a31b896a7fea069ef06f,D,16,"[[3925, 4011]]",todos os poderosos do mundo continuam a apertar a mão a Sepp Blatter e a Jérôme Valcke,Fact,48
5d04a31b896a7fea069ef06f,D,19,"[[4014, 4134]]",O que torna a informação sobre a FIFA imensamente divertida é a colagem que Oliver fez e que os media em geral não fazem,Value,49
5d04a31b896a7fea069ef06f,D,20,"[[4146, 4193]]",disponibilidade da informação que a Web permite,Fact,50
5d04a3fc896a7fea069f0717,A,0,"[[1460, 1621]]","este despique entre teóricos e práticos foi moeda corrente em outras épocas, sendo que, no caso da prática desportiva, encontra raízes milenares na Grécia Antiga",Fact,51
5d04a3fc896a7fea069f0717,A,1,"[[1623, 1903]]","Segundo Galeno (célebre médico grego, tido como pai da medicina desportiva moderna), os treinadores troçavam das teorias dos professores de ginástica e dos médicos sob o pretexto de não se ter o direito de discutir sobre coisas desconhecidas, quando se não tem a prática do ofício",Fact,52
5d04a3fc896a7fea069f0717,B,0,"[[1460, 1621]]","este despique entre teóricos e práticos foi moeda corrente em outras épocas, sendo que, no caso da prática desportiva, encontra raízes milenares na Grécia Antiga",Fact,53
5d04a3fc896a7fea069f0717,B,1,"[[1623, 1786]]","Segundo Galeno (célebre médico grego, tido como pai da medicina desportiva moderna), os treinadores troçavam das teorias dos professores de ginástica e dos médicos",Fact,54
5d04a3fc896a7fea069f0717,B,2,"[[1805, 1903]]","não se ter o direito de discutir sobre coisas desconhecidas, quando se não tem a prática do ofício",Value,55
5d04a3fc896a7fea069f0717,B,5,"[[1906, 2180]]","A minha classificação de teórico atribuída a Carlos Queirós, tendo, para além disso, provas práticas dadas como mero exemplo dois campeonatos mundiais de futebol sub-20, um modestíssimo jogador de futebol competitivo, encontra razão na sua formação e docência universitárias",Value,56
5d04a3fc896a7fea069f0717,B,6,"[[2182, 2274]]",licenciatura e mestrado em Metodologia do Treino pelo ISEF da Universidade Técnica de Lisboa,Fact,57
5d04a3fc896a7fea069f0717,B,7,"[[2277, 2332]]",posterior docência em que teve como aluno José Mourinho,Fact,58
5d04a3fc896a7fea069f0717,B,10,"[[5036, 5197]]","depois do regresso da equipa de todos nós a fronteiras nacionais, assistiu-se a uma despudorada tentativa de intoxicação da opinião pública contra Carlos Queirós",Value(-),59
5d04a3fc896a7fea069f0717,B,11,"[[4830, 5027]]","Os resultados obtidos por Portugal na África do Sul, manipulados pelos seus detractores como se tivessem sido péssimos, pretenderam deixar a imagem de um verdadeiro soçobrar das selecção das quinas",Value(-),60
5d04a3fc896a7fea069f0717,D,0,"[[2945, 2962], [3091, 3296]]","o futebol moderno exige, hoje, condições científicas inerentes à respectiva metodologia de treino e conhecimento profundo do funcionamento da “máquina humana”, questões que, por vezes, são mantidas na sombra do esquecimento",Value,61
5d04a3fc896a7fea069f0717,D,1,"[[2971, 3089]]",conservando a sua componente de sorte inerente a toda e qualquer forma de jogo que o torna aliciante para as multidões,Fact,62
5d04a3fc896a7fea069f0717,D,3,"[[2625, 2934]]","Paulo Bento tem a suportar o seu currículo de treinador o facto de ter sido um destacado jogador da selecção nacional de futebol (35 vezes internacional) conjugado com a habilitação de cursos de treinador de futebol, promovidos pela Associação de Treinadores de Futebol e Federação Portuguesa de Futebol (FPF)",Fact,63
5d04a3fc896a7fea069f0717,D,5,"[[5036, 5197]]","depois do regresso da equipa de todos nós a fronteiras nacionais, assistiu-se a uma despudorada tentativa de intoxicação da opinião pública contra Carlos Queirós",Value,64
5d04a3fc896a7fea069f0717,D,6,"[[4830, 5027]]","Os resultados obtidos por Portugal na África do Sul, manipulados pelos seus detractores como se tivessem sido péssimos, pretenderam deixar a imagem de um verdadeiro soçobrar das selecção das quinas",Value(-),65
5d04a455896a7fea069f07ab,A,0,"[[2655, 2788]]","o futebol, e outros desportos em alguns países menos futebolísticos, parece ser um sucedâneo quer da lei da guerra quer das religiões",Value,66
5d04a455896a7fea069f07ab,A,1,"[[2803, 2904]]",ele tem a competição como regra principal que serve para que haja campeões e equipas que o querem ser,Value,67
5d04a455896a7fea069f07ab,A,2,"[[3006, 3096]]","ela tem a paixão clubística que se transmite em geral por parentesco e se vinca a ""heróis""",Value,68
5d04a455896a7fea069f07ab,A,3,"[[3269, 3293]]",as suas liturgias anuais,Value,69
5d04a455896a7fea069f07ab,A,4,"[[3295, 3342]]",os seus campeonatos e outras taças entre clubes,Value,70
5d04a455896a7fea069f07ab,A,5,"[[3353, 3461]]","selecções nacionais, propícias a um certo patriotismo que vai faltando noutras dimensões cívicas e políticas",Value,71
5d04a455896a7fea069f07ab,A,11,"[[3479, 3541]]",não há que barafustar contra o excesso da violência no futebol,Value,72
5d04a455896a7fea069f07ab,A,12,"[[3608, 3651]]",Mais vale violência organizada e com regras,Value,73
5d04a455896a7fea069f07ab,A,14,"[[3657, 3765]]",bem sabemos como a falta de controle das competições financeiras têm consequências terríveis sobre todos nós,Value(-),74
5d04a455896a7fea069f07ab,A,19,"[[3558, 3606]]","ela faz parte da competição, da paixão de ganhar",Value,75
5d04a455896a7fea069f07ab,A,21,"[[3543, 3556]]",não desejável,Value,76
5d04a455896a7fea069f07ab,A,16,"[[2224, 2290]]","as ""grandes"" guerras do século XX parece difícil que volte a haver",Value,77
5d04a455896a7fea069f07ab,A,17,"[[2299, 2376]]",é ao nível económico – concorrência e competitividade – que ela hoje se trava,Value,78
5d04a455896a7fea069f07ab,A,23,"[[846, 1006]]",Esta lei da guerra é uma espécie de deslocamento da lei da selva que opõe os animais carnívoros aos herbívoros e estes às plantas como condição de sobrevivência,Value,79
5d04a455896a7fea069f07ab,A,24,"[[1015, 1124]]",só se alimentando de vivos se conseguem as moléculas complexas à base de carbono de que são feitas as células,Value,80
5d04a455896a7fea069f07ab,C,0,"[[846, 1006]]",Esta lei da guerra é uma espécie de deslocamento da lei da selva que opõe os animais carnívoros aos herbívoros e estes às plantas como condição de sobrevivência,Value,81
5d04a455896a7fea069f07ab,C,1,"[[1015, 1171]]",só se alimentando de vivos se conseguem as moléculas complexas à base de carbono de que são feitas as células (as plantas recebem o carbono da fotossíntese),Value,82
5d04a455896a7fea069f07ab,C,3,"[[2191, 2218]]",ainda há guerras aqui e ali,Fact,83
5d04a455896a7fea069f07ab,C,7,"[[2224, 2290]]","as ""grandes"" guerras do século XX parece difícil que volte a haver",Value(+),84
5d04a455896a7fea069f07ab,C,13,"[[2299, 2376]]",é ao nível económico – concorrência e competitividade – que ela hoje se trava,Value,85
5d04a455896a7fea069f07ab,C,4,"[[3608, 3651]]",Mais vale violência organizada e com regras,Value,86
5d04a455896a7fea069f07ab,C,9,"[[3657, 3765]]",bem sabemos como a falta de controle das competições financeiras têm consequências terríveis sobre todos nós,Value(-),87
5d04a455896a7fea069f07ab,C,15,"[[3543, 3556]]",não desejável,Value(-),88
5d04a455896a7fea069f07ab,C,16,"[[3558, 3606]]","ela faz parte da competição, da paixão de ganhar",Value,89
5d04a455896a7fea069f07ab,C,19,"[[3479, 3541]]",não há que barafustar contra o excesso da violência no futebol,Policy,90
5d04a455896a7fea069f07ab,C,5,"[[2655, 2788]]","o futebol, e outros desportos em alguns países menos futebolísticos, parece ser um sucedâneo quer da lei da guerra quer das religiões",Value,91
5d04a455896a7fea069f07ab,C,6,"[[2790, 2992]]","Da primeira, ele tem a competição como regra principal que serve para que haja campeões e equipas que o querem ser, mas com a vantagem de essas guerras serem organizadas com regras vigiadas por árbitros",Value,92
5d04a455896a7fea069f07ab,C,11,"[[2994, 3248]]","Da segunda, ela tem a paixão clubística que se transmite em geral por parentesco e se vinca a ""heróis"", mas que é capaz de envolver vidas poucos interessantes e de lhes dar um ""sentido"" que de outra maneira poderia facilmente descambar em bebida ou droga",Value,93
5d04a455896a7fea069f07ab,C,12,"[[3250, 3461]]","tem por outro lado as suas liturgias anuais, os seus campeonatos e outras taças entre clubes, além das selecções nacionais, propícias a um certo patriotismo que vai faltando noutras dimensões cívicas e políticas",Value,94
5d04a455896a7fea069f07ab,D,0,"[[846, 1006]]",Esta lei da guerra é uma espécie de deslocamento da lei da selva que opõe os animais carnívoros aos herbívoros e estes às plantas como condição de sobrevivência,Value,95
5d04a455896a7fea069f07ab,D,1,"[[1015, 1274]]",só se alimentando de vivos se conseguem as moléculas complexas à base de carbono de que são feitas as células (as plantas recebem o carbono da fotossíntese) e justifica que as anatomias dos animais ganhem em músculos e astúcias quanto mais crescem as espécies,Fact,96
5d04a455896a7fea069f07ab,D,3,"[[2186, 2218]]",Hoje ainda há guerras aqui e ali,Value,97
5d04a455896a7fea069f07ab,D,4,"[[2224, 2290]]","as ""grandes"" guerras do século XX parece difícil que volte a haver",Value,98
5d04a455896a7fea069f07ab,D,6,"[[2299, 2460]]","é ao nível económico – concorrência e competitividade – que ela hoje se trava, os nobres guerreiros substituídos pelos burgueses capitalistas na dominação social",Fact,99
5d04a455896a7fea069f07ab,D,8,"[[2790, 2904]]","Da primeira, ele tem a competição como regra principal que serve para que haja campeões e equipas que o querem ser",Value,100
5d04a455896a7fea069f07ab,D,9,"[[2910, 2992]]",com a vantagem de essas guerras serem organizadas com regras vigiadas por árbitros,Fact,101
5d04a455896a7fea069f07ab,D,11,"[[2994, 3096]]","Da segunda, ela tem a paixão clubística que se transmite em geral por parentesco e se vinca a ""heróis""",Value,102
5d04a455896a7fea069f07ab,D,12,"[[3106, 3248]]","é capaz de envolver vidas poucos interessantes e de lhes dar um ""sentido"" que de outra maneira poderia facilmente descambar em bebida ou droga",Value(+),103
5d04a455896a7fea069f07ab,D,14,"[[3463, 3541]]","Se tiver razão, não há que barafustar contra o excesso da violência no futebol",Value,104
5d04a455896a7fea069f07ab,D,15,"[[3543, 3606]]","não desejável, ela faz parte da competição, da paixão de ganhar",Value,105
5d04a52f896a7fea069f0921,A,0,"[[0, 28]]",Este foi um Mundial incrível,Value(+),106
5d04a52f896a7fea069f0921,A,1,"[[30, 70]]",Vimos actuações individuais maravilhosas,Value(+),107
5d04a52f896a7fea069f0921,A,2,"[[72, 85]]",grandes jogos,Value(+),108
5d04a52f896a7fea069f0921,A,3,"[[88, 105]]",grandes surpresas,Value(+),109
5d04a52f896a7fea069f0921,A,7,"[[372, 526]]",existem boas e legítimas razões que justificam a vitória do Qatar contra os seus mais conhecidos rivais para sediar o Mundial de Futebol daqui a oito anos,Value(+),110
5d04a52f896a7fea069f0921,A,8,"[[307, 363]]",tudo o que possa ter ouvido ao longo das últimas semanas,Value,111
5d04a52f896a7fea069f0921,A,10,"[[791, 821]]",A nossa campanha foi vitoriosa,Value(+),112
5d04a52f896a7fea069f0921,A,11,"[[883, 919]]",apresentámos argumentos convincentes,Value,113
5d04a52f896a7fea069f0921,A,12,"[[921, 965]]",Nós transformámos cada desafio a nosso favor,Value,114
5d04a52f896a7fea069f0921,A,13,"[[983, 1023]]",a nossa campanha foi vista como a melhor,Value,115
5d04a52f896a7fea069f0921,A,17,"[[1026, 1124]]",A história do futebol do Qatar pode até ser mais recente do que a da Europa ou a da América do Sul,Fact,116
5d04a52f896a7fea069f0921,A,18,"[[1130, 1218]]","tanto no nosso país como no Médio Oriente, a paixão por esse desporto é igualmente forte",Value,117
5d04a52f896a7fea069f0921,B,0,"[[0, 28]]",Este foi um Mundial incrível,Value(+),118
5d04a52f896a7fea069f0921,B,1,"[[30, 105]]","Vimos actuações individuais maravilhosas, grandes jogos e grandes surpresas",Value(+),119
5d04a52f896a7fea069f0921,B,2,"[[307, 363]]",tudo o que possa ter ouvido ao longo das últimas semanas,Value,120
5d04a52f896a7fea069f0921,B,3,"[[365, 526]]",também existem boas e legítimas razões que justificam a vitória do Qatar contra os seus mais conhecidos rivais para sediar o Mundial de Futebol daqui a oito anos,Value,121
5d04a52f896a7fea069f0921,B,5,"[[545, 583]]",temos tido dificuldades em ser ouvidos,Value(-),122
5d04a52f896a7fea069f0921,B,8,"[[586, 642]]",O Qatar não tem uma tradição rica na história do futebol,Fact,123
5d04a52f896a7fea069f0921,B,9,"[[644, 665]]",Somos um país pequeno,Fact,124
5d04a52f896a7fea069f0921,B,10,"[[669, 713]]",as nossas temperaturas no Verão são elevadas,Fact,125
5d04a52f896a7fea069f0921,B,11,"[[742, 789]]",somente a nossa riqueza já é motivo de suspeita,Value(-),126
5d04a52f896a7fea069f0921,B,12,"[[724, 740]]",injusto que seja,Value(-),127
5d04a52f896a7fea069f0921,B,13,"[[791, 919]]","A nossa campanha foi vitoriosa, não porque ignorámos estas importantes questões, mas porque apresentámos argumentos convincentes",Value,128
5d04a52f896a7fea069f0921,B,14,"[[967, 975]]",Ganhámos,Fact,129
5d04a52f896a7fea069f0921,B,15,"[[983, 1023]]",a nossa campanha foi vista como a melhor,Value(+),130
5d04a52f896a7fea069f0921,B,22,"[[1026, 1124]]",A história do futebol do Qatar pode até ser mais recente do que a da Europa ou a da América do Sul,Value,131
5d04a52f896a7fea069f0921,B,23,"[[1130, 1218]]","tanto no nosso país como no Médio Oriente, a paixão por esse desporto é igualmente forte",Value,132
5d04a52f896a7fea069f0921,B,25,"[[1220, 1254]]",Os membros da FIFA entenderam isso,Value,133
5d04a52f896a7fea069f0921,B,26,"[[1257, 1315]]",interessaram-se em levar o campeonato para uma região nova,Value,134
5d04a52f896a7fea069f0921,B,28,"[[2511, 2581]]",Uma final nesse país implicaria longas viagens e custos significativos,Value(-),135
5d04a52f896a7fea069f0921,B,29,"[[2601, 2696]]",mais de 2 mil milhões de fãs de futebol estão a apenas quatro horas de voo do aeroporto de Doha,Value(+),136
5d04a52f896a7fea069f0921,B,31,"[[2699, 2844]]","Na opinião de alguns críticos, o intenso calor durante o Verão no nosso país é a principal razão pela qual não deveríamos ter ganho a candidatura",Value(-),137
5d04a52f896a7fea069f0921,B,32,"[[2858, 2949]]",provámos que as partidas de futebol poderiam ser jogadas e vistas em condições confortáveis,Value(+),138
5d04a52f896a7fea069f0921,B,34,"[[3021, 3111]]","Para alguns, a ideia de ter estádios com ar condicionado pode parecer uma ideia fantasiosa",Value,139
5d04a52f896a7fea069f0921,B,35,"[[3117, 3190]]",desde 2008 contamos com sistemas de refrigeração para eventos ao ar livre,Fact,140
5d04a52f896a7fea069f0921,B,37,"[[3422, 3503]]",investimos mais dinheiro na nossa campanha se compararmos com outras candidaturas,Fact,141
5d04a52f896a7fea069f0921,B,38,"[[3513, 3590]]",somente com o objectivo de alcançar o nível dos nossos rivais mais conhecidos,Value,142
5d04a52f896a7fea069f0921,B,39,"[[3592, 3685]]",Tivemos de dar a conhecer ao mundo o nosso país e informar as pessoas do que podemos oferecer,Value,143
5d04a52f896a7fea069f0921,B,42,"[[3687, 3861]]","Desde o dia em que lançámos a nossa proposta de candidatura até ao dia em que o nome do nosso país foi revelado no envelope em Zurique, respeitámos estritamente o regulamento",Value(+),144
5d04a52f896a7fea069f0921,B,43,"[[3963, 3999]]",Não temos nada a temer ou a esconder,Value(+),145
5d04a52f896a7fea069f0921,B,44,"[[3879, 3961]]",queremos cooperar plenamente com a investigação da FIFA ao processo de candidatura,Value,146
5d04a52f896a7fea069f0921,B,47,"[[4221, 4341]]",Indicámos à FIFA como pretendíamos que o Mundial de Futebol fosse um catalisador para mudanças positivas na nossa região,Value,147
5d04a52f896a7fea069f0921,B,48,"[[4400, 4475]]","já tomámos, por exemplo, medidas para modernizar as nossas leis do trabalho",Value(+),148
5d04a52f896a7fea069f0921,B,49,"[[4343, 4396]]",As nossas acções têm correspondido às nossas palavras,Value,149
5d04a52f896a7fea069f0921,B,51,"[[4872, 4951]]","Infelizmente, existem muitas divisões, assim como incompreensões no nosso mundo",Value(-),150
5d04a52f896a7fea069f0921,B,52,"[[4965, 5079]]",a paixão partilhada pelo futebol pode eliminar os preconceitos e unir as pessoas em torno do que elas têm em comum,Value(+),151
5d04a52f896a7fea069f0921,D,0,"[[0, 28]]",Este foi um Mundial incrível,Value(+),152
5d04a52f896a7fea069f0921,D,1,"[[36, 70]]",actuações individuais maravilhosas,Value(+),153
5d04a52f896a7fea069f0921,D,2,"[[72, 85]]",grandes jogos,Value(+),154
5d04a52f896a7fea069f0921,D,3,"[[88, 105]]",grandes surpresas,Value(+),155
5d04a52f896a7fea069f0921,D,7,"[[791, 821]]",A nossa campanha foi vitoriosa,Value(+),156
5d04a52f896a7fea069f0921,D,8,"[[823, 870]]",não porque ignorámos estas importantes questões,Value,157
5d04a52f896a7fea069f0921,D,9,"[[883, 919]]",apresentámos argumentos convincentes,Value(+),158
5d04a52f896a7fea069f0921,D,12,"[[921, 965]]",Nós transformámos cada desafio a nosso favor,Value(+),159
5d04a52f896a7fea069f0921,D,13,"[[967, 975]]",Ganhámos,Fact,160
5d04a52f896a7fea069f0921,D,14,"[[983, 1023]]",a nossa campanha foi vista como a melhor,Fact,161
5d04a52f896a7fea069f0921,D,18,"[[1220, 1254]]",Os membros da FIFA entenderam isso,Value(+),162
5d04a52f896a7fea069f0921,D,19,"[[1257, 1315]]",interessaram-se em levar o campeonato para uma região nova,Value(+),163
5d04a52f896a7fea069f0921,D,21,"[[1026, 1124]]",A história do futebol do Qatar pode até ser mais recente do que a da Europa ou a da América do Sul,Fact,164
5d04a52f896a7fea069f0921,D,22,"[[1130, 1218]]","tanto no nosso país como no Médio Oriente, a paixão por esse desporto é igualmente forte",Fact,165
5d04a52f896a7fea069f0921,D,25,"[[2270, 2299]]",encarámos fortes concorrentes,Value,166
5d04a52f896a7fea069f0921,D,26,"[[2308, 2405]]",tanto os Estados Unidos como o Japão e a Coreia do Sul sediaram recentemente o Mundial de Futebol,Fact,167
5d04a52f896a7fea069f0921,D,28,"[[2407, 2463]]",A Austrália tem uma tradição desportiva muito importante,Fact,168
5d04a52f896a7fea069f0921,D,30,"[[2469, 2509]]",o futebol não é o seu desporto número um,Value,169
5d04a52f896a7fea069f0921,D,32,"[[2511, 2581]]",Uma final nesse país implicaria longas viagens e custos significativos,Fact,170
5d04a52f896a7fea069f0921,D,34,"[[2601, 2696]]",mais de 2 mil milhões de fãs de futebol estão a apenas quatro horas de voo do aeroporto de Doha,Fact,171
5d04a52f896a7fea069f0921,D,36,"[[3034, 3111]]",a ideia de ter estádios com ar condicionado pode parecer uma ideia fantasiosa,Value(-),172
5d04a52f896a7fea069f0921,D,37,"[[3117, 3190]]",desde 2008 contamos com sistemas de refrigeração para eventos ao ar livre,Fact,173
5d04a52f896a7fea069f0921,D,39,"[[3963, 3999]]",Não temos nada a temer ou a esconder,Value,174
5d04a52f896a7fea069f0921,D,40,"[[3879, 3961]]",queremos cooperar plenamente com a investigação da FIFA ao processo de candidatura,Value(+),175
5d04a52f896a7fea069f0921,D,41,"[[3687, 3861]]","Desde o dia em que lançámos a nossa proposta de candidatura até ao dia em que o nome do nosso país foi revelado no envelope em Zurique, respeitámos estritamente o regulamento",Value(+),176
5d04a52f896a7fea069f0921,D,44,"[[3422, 3503]]",investimos mais dinheiro na nossa campanha se compararmos com outras candidaturas,Fact,177
5d04a52f896a7fea069f0921,D,46,"[[3509, 3590]]",foi somente com o objectivo de alcançar o nível dos nossos rivais mais conhecidos,Value,178
5d04a52f896a7fea069f0921,D,48,"[[3592, 3639]]",Tivemos de dar a conhecer ao mundo o nosso país,Fact,179
5d04a52f896a7fea069f0921,D,49,"[[3642, 3685]]",informar as pessoas do que podemos oferecer,Fact,180
5d04a52f896a7fea069f0921,D,52,"[[4812, 4869]]",regressam aos seus países com olhos e mentes mais abertos,Value(+),181
5d04a52f896a7fea069f0921,D,53,"[[4739, 4792]]",Fãs de todos os cantos do mundo formam novas amizades,Value(+),182
5d04a52f896a7fea069f0921,D,54,"[[4661, 4737]]",o Mundial de Futebol tem uma capacidade notável para unir pessoas e culturas,Fact,183
5d04a8d7896a7fea069f6997,A,0,"[[1075, 1154]]",A história do futebol está cheia de episódios semelhantes ao ocorrido na Sérvia,Value,184
5d04a8d7896a7fea069f6997,A,1,"[[1309, 1473]]","Em 1937, em Espanha, perante o avanço de Franco, vários jogadores bascos desertaram dos seus clubes e formaram uma equipa pretensamente representativa do País Basco",Fact,185
5d04a8d7896a7fea069f6997,A,3,"[[1597, 1767]]","Em 1958, trinta e dois jogadores de origem argelina abandonaram a França e os clubes em que jogavam e constituíram a “seleção” da Frente de Libertação Nacional da Argélia",Fact,186
5d04a8d7896a7fea069f6997,A,5,"[[1769, 1939]]","Em 1969, numa sequência de jogos entre El Salvador e as Honduras, a hostilidade entre os dois países resultou numa guerra de quatro dias que vitimou cerca de 6000 pessoas",Fact,187
5d04a8d7896a7fea069f6997,A,7,"[[1161, 1307]]","em 1934, na segunda edição do campeonato do mundo, disputado em Itália, Mussolini utilizou a seleção transalpina para fazer a apologia do fascismo",Fact,188
5d04a8d7896a7fea069f6997,A,9,"[[1941, 2111]]","Nesse mesmo ano, em Portugal, a final da Taça no Estádio Nacional foi convertida em cenário de contestação ao Estado Novo por parte da Académica de Coimbra e seus adeptos",Fact,189
5d04a8d7896a7fea069f6997,A,10,"[[2113, 2274]]","Em 1986, quando a Argentina eliminou a Inglaterra no Mundial do México, os dois golos de Maradona tiveram o sabor da vingança pela derrota na guerra das Malvinas",Fact,190
