annotator,ranges,tokens,label,id,positive_words,neutral_words,negative_words
B,"[[2808, 2866]]",O que é espantoso é que a peça era singularmente objectiva,Value,20,1,1,0
B,"[[2949, 2993]]",O humor nascia do absurdo da prática da FIFA,Value(-),21,1,0,1
B,"[[2995, 3036]]",do gigantesco sem-sentido da sua actuação,Value(-),22,0,1,0
B,"[[3038, 3089]]",do despropósito das declarações dos seus dirigentes,Value(-),23,1,0,0
B,"[[3091, 3122]]",da insensatez da sua existência,Value(-),24,0,0,0
B,"[[3124, 3167]]",da arrogância da sua relação com os Estados,Value(-),25,0,0,0
B,"[[3169, 3190]]",É tudo cómico na FIFA,Value(+),26,1,0,0
B,"[[3335, 3397]]",todos os dias a FIFA nos espeta com uma tarte de creme na cara,Value,27,0,0,1
B,"[[3198, 3285]]",o que todos nós permitimos que esta organização faça é totalmente absurdo e sem sentido,Value(-),28,0,0,2
B,"[[3415, 3435]]",isso é sempre cómico,Value,29,1,0,0
B,"[[3641, 3711]]",já foram publicados trabalhos jornalísticos sobre o lado negro da FIFA,Fact,30,0,3,0
B,"[[3730, 3760]]",são infinitamente minoritários,Value,31,1,0,0
B,"[[3764, 3922]]","depois disso, toda a comunidade jornalística continua a tratar a FIFA como uma organização idónea e os seus campeonatos como os mais benignos eventos do mundo",Value,32,3,2,0
B,"[[3925, 4011]]",todos os poderosos do mundo continuam a apertar a mão a Sepp Blatter e a Jérôme Valcke,Value,33,2,0,1
B,"[[4076, 4193]]","a colagem que Oliver fez e que os media em geral não fazem, apesar da disponibilidade da informação que a Web permite",Value,34,0,1,0
B,"[[4020, 4073]]",torna a informação sobre a FIFA imensamente divertida,Value(+),35,1,0,0
D,"[[2516, 2556]]",O facto não é apenas fruto da ignorância,Value,36,0,0,0
D,"[[2568, 2806]]","havia no seu humor mais jornalismo (mais investigação, mais preocupação em aprofundar e contextualizar a história, mais isenção no relato, mais preocupação social, mais urgência de denunciar) do que em muitas peças realmente jornalísticas",Fact,37,0,4,0
D,"[[3169, 3190]]",É tudo cómico na FIFA,Value(-),38,1,0,0
D,"[[3198, 3285]]",o que todos nós permitimos que esta organização faça é totalmente absurdo e sem sentido,Value(-),39,0,0,2
D,"[[3306, 3327]]",É tudo cómico na FIFA,Value(-),40,1,0,0
D,"[[3335, 3397]]",todos os dias a FIFA nos espeta com uma tarte de creme na cara,Value,41,0,0,1
D,"[[3401, 3435]]","como sabemos, isso é sempre cómico",Value(-),42,1,0,0
D,"[[3438, 3473]]",Oliver é humorista e não jornalista,Value,43,0,0,1
D,"[[3479, 3623]]",é interessante verificar como é cada vez mais frequente que as verdades surjam nos programas de humor e a propaganda nos programas jornalísticos,Fact,44,1,3,0
D,"[[3625, 3711]]","Sim, eu sei que já foram publicados trabalhos jornalísticos sobre o lado negro da FIFA",Value,45,0,3,0
D,"[[3713, 3760]]",O problema é que são infinitamente minoritários,Fact,46,1,0,0
D,"[[3764, 3922]]","depois disso, toda a comunidade jornalística continua a tratar a FIFA como uma organização idónea e os seus campeonatos como os mais benignos eventos do mundo",Fact,47,3,2,0
D,"[[3925, 4011]]",todos os poderosos do mundo continuam a apertar a mão a Sepp Blatter e a Jérôme Valcke,Fact,48,2,0,1
D,"[[4014, 4134]]",O que torna a informação sobre a FIFA imensamente divertida é a colagem que Oliver fez e que os media em geral não fazem,Value,49,1,1,0
D,"[[4146, 4193]]",disponibilidade da informação que a Web permite,Fact,50,0,0,0
A,"[[1460, 1621]]","este despique entre teóricos e práticos foi moeda corrente em outras épocas, sendo que, no caso da prática desportiva, encontra raízes milenares na Grécia Antiga",Fact,51,2,3,0
A,"[[1623, 1903]]","Segundo Galeno (célebre médico grego, tido como pai da medicina desportiva moderna), os treinadores troçavam das teorias dos professores de ginástica e dos médicos sob o pretexto de não se ter o direito de discutir sobre coisas desconhecidas, quando se não tem a prática do ofício",Fact,52,3,5,2
B,"[[1460, 1621]]","este despique entre teóricos e práticos foi moeda corrente em outras épocas, sendo que, no caso da prática desportiva, encontra raízes milenares na Grécia Antiga",Fact,53,2,3,0
B,"[[1623, 1786]]","Segundo Galeno (célebre médico grego, tido como pai da medicina desportiva moderna), os treinadores troçavam das teorias dos professores de ginástica e dos médicos",Fact,54,2,3,0
B,"[[1805, 1903]]","não se ter o direito de discutir sobre coisas desconhecidas, quando se não tem a prática do ofício",Value,55,1,2,2
B,"[[1906, 2180]]","A minha classificação de teórico atribuída a Carlos Queirós, tendo, para além disso, provas práticas dadas como mero exemplo dois campeonatos mundiais de futebol sub-20, um modestíssimo jogador de futebol competitivo, encontra razão na sua formação e docência universitárias",Value,56,1,5,0
B,"[[2182, 2274]]",licenciatura e mestrado em Metodologia do Treino pelo ISEF da Universidade Técnica de Lisboa,Fact,57,0,1,0
B,"[[2277, 2332]]",posterior docência em que teve como aluno José Mourinho,Fact,58,0,1,0
B,"[[5036, 5197]]","depois do regresso da equipa de todos nós a fronteiras nacionais, assistiu-se a uma despudorada tentativa de intoxicação da opinião pública contra Carlos Queirós",Value(-),59,0,2,1
B,"[[4830, 5027]]","Os resultados obtidos por Portugal na África do Sul, manipulados pelos seus detractores como se tivessem sido péssimos, pretenderam deixar a imagem de um verdadeiro soçobrar das selecção das quinas",Value(-),60,1,1,3
D,"[[2945, 2962], [3091, 3296]]","o futebol moderno exige, hoje, condições científicas inerentes à respectiva metodologia de treino e conhecimento profundo do funcionamento da “máquina humana”, questões que, por vezes, são mantidas na sombra do esquecimento",Value,61,2,5,0
D,"[[2971, 3089]]",conservando a sua componente de sorte inerente a toda e qualquer forma de jogo que o torna aliciante para as multidões,Fact,62,0,1,0
D,"[[2625, 2934]]","Paulo Bento tem a suportar o seu currículo de treinador o facto de ter sido um destacado jogador da selecção nacional de futebol (35 vezes internacional) conjugado com a habilitação de cursos de treinador de futebol, promovidos pela Associação de Treinadores de Futebol e Federação Portuguesa de Futebol (FPF)",Fact,63,1,5,1
D,"[[5036, 5197]]","depois do regresso da equipa de todos nós a fronteiras nacionais, assistiu-se a uma despudorada tentativa de intoxicação da opinião pública contra Carlos Queirós",Value,64,0,2,1
D,"[[4830, 5027]]","Os resultados obtidos por Portugal na África do Sul, manipulados pelos seus detractores como se tivessem sido péssimos, pretenderam deixar a imagem de um verdadeiro soçobrar das selecção das quinas",Value(-),65,1,1,3
A,"[[2655, 2788]]","o futebol, e outros desportos em alguns países menos futebolísticos, parece ser um sucedâneo quer da lei da guerra quer das religiões",Value,66,1,0,0
A,"[[2803, 2904]]",ele tem a competição como regra principal que serve para que haja campeões e equipas que o querem ser,Value,67,1,1,0
A,"[[3006, 3096]]","ela tem a paixão clubística que se transmite em geral por parentesco e se vinca a ""heróis""",Value,68,0,1,0
A,"[[3269, 3293]]",as suas liturgias anuais,Value,69,0,1,0
A,"[[3295, 3342]]",os seus campeonatos e outras taças entre clubes,Value,70,0,0,0
A,"[[3353, 3461]]","selecções nacionais, propícias a um certo patriotismo que vai faltando noutras dimensões cívicas e políticas",Value,71,3,2,0
A,"[[3479, 3541]]",não há que barafustar contra o excesso da violência no futebol,Value,72,0,0,0
A,"[[3608, 3651]]",Mais vale violência organizada e com regras,Value,73,1,0,0
A,"[[3657, 3765]]",bem sabemos como a falta de controle das competições financeiras têm consequências terríveis sobre todos nós,Value(-),74,0,1,2
A,"[[3558, 3606]]","ela faz parte da competição, da paixão de ganhar",Value,75,0,1,0
A,"[[3543, 3556]]",não desejável,Value,76,1,0,0
A,"[[2224, 2290]]","as ""grandes"" guerras do século XX parece difícil que volte a haver",Value,77,1,1,1
A,"[[2299, 2376]]",é ao nível económico – concorrência e competitividade – que ela hoje se trava,Value,78,0,2,0
A,"[[846, 1006]]",Esta lei da guerra é uma espécie de deslocamento da lei da selva que opõe os animais carnívoros aos herbívoros e estes às plantas como condição de sobrevivência,Value,79,0,0,2
A,"[[1015, 1124]]",só se alimentando de vivos se conseguem as moléculas complexas à base de carbono de que são feitas as células,Value,80,3,0,2
C,"[[846, 1006]]",Esta lei da guerra é uma espécie de deslocamento da lei da selva que opõe os animais carnívoros aos herbívoros e estes às plantas como condição de sobrevivência,Value,81,0,0,2
C,"[[1015, 1171]]",só se alimentando de vivos se conseguem as moléculas complexas à base de carbono de que são feitas as células (as plantas recebem o carbono da fotossíntese),Value,82,3,0,2
C,"[[2191, 2218]]",ainda há guerras aqui e ali,Fact,83,0,0,0
C,"[[2224, 2290]]","as ""grandes"" guerras do século XX parece difícil que volte a haver",Value(+),84,1,1,1
C,"[[2299, 2376]]",é ao nível económico – concorrência e competitividade – que ela hoje se trava,Value,85,0,2,0
C,"[[3608, 3651]]",Mais vale violência organizada e com regras,Value,86,1,0,0
C,"[[3657, 3765]]",bem sabemos como a falta de controle das competições financeiras têm consequências terríveis sobre todos nós,Value(-),87,0,1,2
C,"[[3543, 3556]]",não desejável,Value(-),88,1,0,0
C,"[[3558, 3606]]","ela faz parte da competição, da paixão de ganhar",Value,89,0,1,0
C,"[[3479, 3541]]",não há que barafustar contra o excesso da violência no futebol,Policy,90,0,0,0
C,"[[2655, 2788]]","o futebol, e outros desportos em alguns países menos futebolísticos, parece ser um sucedâneo quer da lei da guerra quer das religiões",Value,91,1,0,0
C,"[[2790, 2992]]","Da primeira, ele tem a competição como regra principal que serve para que haja campeões e equipas que o querem ser, mas com a vantagem de essas guerras serem organizadas com regras vigiadas por árbitros",Value,92,2,3,0
C,"[[2994, 3248]]","Da segunda, ela tem a paixão clubística que se transmite em geral por parentesco e se vinca a ""heróis"", mas que é capaz de envolver vidas poucos interessantes e de lhes dar um ""sentido"" que de outra maneira poderia facilmente descambar em bebida ou droga",Value,93,3,3,4
C,"[[3250, 3461]]","tem por outro lado as suas liturgias anuais, os seus campeonatos e outras taças entre clubes, além das selecções nacionais, propícias a um certo patriotismo que vai faltando noutras dimensões cívicas e políticas",Value,94,3,3,0
D,"[[846, 1006]]",Esta lei da guerra é uma espécie de deslocamento da lei da selva que opõe os animais carnívoros aos herbívoros e estes às plantas como condição de sobrevivência,Value,95,0,0,2
D,"[[1015, 1274]]",só se alimentando de vivos se conseguem as moléculas complexas à base de carbono de que são feitas as células (as plantas recebem o carbono da fotossíntese) e justifica que as anatomias dos animais ganhem em músculos e astúcias quanto mais crescem as espécies,Fact,96,3,0,3
D,"[[2186, 2218]]",Hoje ainda há guerras aqui e ali,Value,97,0,0,0
D,"[[2224, 2290]]","as ""grandes"" guerras do século XX parece difícil que volte a haver",Value,98,1,1,1
D,"[[2299, 2460]]","é ao nível económico – concorrência e competitividade – que ela hoje se trava, os nobres guerreiros substituídos pelos burgueses capitalistas na dominação social",Fact,99,2,4,1
D,"[[2790, 2904]]","Da primeira, ele tem a competição como regra principal que serve para que haja campeões e equipas que o querem ser",Value,100,1,2,0
D,"[[2910, 2992]]",com a vantagem de essas guerras serem organizadas com regras vigiadas por árbitros,Fact,101,1,1,0
D,"[[2994, 3096]]","Da segunda, ela tem a paixão clubística que se transmite em geral por parentesco e se vinca a ""heróis""",Value,102,0,2,0
D,"[[3106, 3248]]","é capaz de envolver vidas poucos interessantes e de lhes dar um ""sentido"" que de outra maneira poderia facilmente descambar em bebida ou droga",Value(+),103,3,1,4
D,"[[3463, 3541]]","Se tiver razão, não há que barafustar contra o excesso da violência no futebol",Value,104,0,0,0
D,"[[3543, 3606]]","não desejável, ela faz parte da competição, da paixão de ganhar",Value,105,1,1,0
A,"[[0, 28]]",Este foi um Mundial incrível,Value(+),106,1,1,0
A,"[[30, 70]]",Vimos actuações individuais maravilhosas,Value(+),107,1,1,0
A,"[[72, 85]]",grandes jogos,Value(+),108,0,1,0
A,"[[88, 105]]",grandes surpresas,Value(+),109,0,1,1
A,"[[372, 526]]",existem boas e legítimas razões que justificam a vitória do Qatar contra os seus mais conhecidos rivais para sediar o Mundial de Futebol daqui a oito anos,Value(+),110,3,1,1
A,"[[307, 363]]",tudo o que possa ter ouvido ao longo das últimas semanas,Value,111,0,4,0
A,"[[791, 821]]",A nossa campanha foi vitoriosa,Value(+),112,1,0,0
A,"[[883, 919]]",apresentámos argumentos convincentes,Value,113,1,0,0
A,"[[921, 965]]",Nós transformámos cada desafio a nosso favor,Value,114,1,0,0
A,"[[983, 1023]]",a nossa campanha foi vista como a melhor,Value,115,2,0,0
A,"[[1026, 1124]]",A história do futebol do Qatar pode até ser mais recente do que a da Europa ou a da América do Sul,Fact,116,1,1,0
A,"[[1130, 1218]]","tanto no nosso país como no Médio Oriente, a paixão por esse desporto é igualmente forte",Value,117,1,1,0
B,"[[0, 28]]",Este foi um Mundial incrível,Value(+),118,1,1,0
B,"[[30, 105]]","Vimos actuações individuais maravilhosas, grandes jogos e grandes surpresas",Value(+),119,1,3,1
B,"[[307, 363]]",tudo o que possa ter ouvido ao longo das últimas semanas,Value,120,0,4,0
B,"[[365, 526]]",também existem boas e legítimas razões que justificam a vitória do Qatar contra os seus mais conhecidos rivais para sediar o Mundial de Futebol daqui a oito anos,Value,121,3,1,1
B,"[[545, 583]]",temos tido dificuldades em ser ouvidos,Value(-),122,2,1,0
B,"[[586, 642]]",O Qatar não tem uma tradição rica na história do futebol,Fact,123,1,0,0
B,"[[644, 665]]",Somos um país pequeno,Fact,124,0,1,0
B,"[[669, 713]]",as nossas temperaturas no Verão são elevadas,Fact,125,1,1,0
B,"[[742, 789]]",somente a nossa riqueza já é motivo de suspeita,Value(-),126,1,0,1
B,"[[724, 740]]",injusto que seja,Value(-),127,0,0,1
B,"[[791, 919]]","A nossa campanha foi vitoriosa, não porque ignorámos estas importantes questões, mas porque apresentámos argumentos convincentes",Value,128,3,0,0
B,"[[967, 975]]",Ganhámos,Fact,129,0,0,0
B,"[[983, 1023]]",a nossa campanha foi vista como a melhor,Value(+),130,2,0,0
B,"[[1026, 1124]]",A história do futebol do Qatar pode até ser mais recente do que a da Europa ou a da América do Sul,Value,131,1,1,0
B,"[[1130, 1218]]","tanto no nosso país como no Médio Oriente, a paixão por esse desporto é igualmente forte",Value,132,1,1,0
B,"[[1220, 1254]]",Os membros da FIFA entenderam isso,Value,133,0,0,0
B,"[[1257, 1315]]",interessaram-se em levar o campeonato para uma região nova,Value,134,1,0,1
B,"[[2511, 2581]]",Uma final nesse país implicaria longas viagens e custos significativos,Value(-),135,1,2,0
B,"[[2601, 2696]]",mais de 2 mil milhões de fãs de futebol estão a apenas quatro horas de voo do aeroporto de Doha,Value(+),136,0,0,0
B,"[[2699, 2844]]","Na opinião de alguns críticos, o intenso calor durante o Verão no nosso país é a principal razão pela qual não deveríamos ter ganho a candidatura",Value(-),137,1,3,0
B,"[[2858, 2949]]",provámos que as partidas de futebol poderiam ser jogadas e vistas em condições confortáveis,Value(+),138,4,0,1
B,"[[3021, 3111]]","Para alguns, a ideia de ter estádios com ar condicionado pode parecer uma ideia fantasiosa",Value,139,1,3,0
B,"[[3117, 3190]]",desde 2008 contamos com sistemas de refrigeração para eventos ao ar livre,Fact,140,0,1,0
B,"[[3422, 3503]]",investimos mais dinheiro na nossa campanha se compararmos com outras candidaturas,Fact,141,0,0,0
B,"[[3513, 3590]]",somente com o objectivo de alcançar o nível dos nossos rivais mais conhecidos,Value,142,2,2,1
B,"[[3592, 3685]]",Tivemos de dar a conhecer ao mundo o nosso país e informar as pessoas do que podemos oferecer,Value,143,2,0,3
B,"[[3687, 3861]]","Desde o dia em que lançámos a nossa proposta de candidatura até ao dia em que o nome do nosso país foi revelado no envelope em Zurique, respeitámos estritamente o regulamento",Value(+),144,1,0,0
B,"[[3963, 3999]]",Não temos nada a temer ou a esconder,Value(+),145,1,1,1
B,"[[3879, 3961]]",queremos cooperar plenamente com a investigação da FIFA ao processo de candidatura,Value,146,1,0,0
B,"[[4221, 4341]]",Indicámos à FIFA como pretendíamos que o Mundial de Futebol fosse um catalisador para mudanças positivas na nossa região,Value,147,1,1,0
B,"[[4400, 4475]]","já tomámos, por exemplo, medidas para modernizar as nossas leis do trabalho",Value(+),148,0,0,0
B,"[[4343, 4396]]",As nossas acções têm correspondido às nossas palavras,Value,149,0,0,0
B,"[[4872, 4951]]","Infelizmente, existem muitas divisões, assim como incompreensões no nosso mundo",Value(-),150,1,0,0
B,"[[4965, 5079]]",a paixão partilhada pelo futebol pode eliminar os preconceitos e unir as pessoas em torno do que elas têm em comum,Value(+),151,0,2,1
D,"[[0, 28]]",Este foi um Mundial incrível,Value(+),152,1,1,0
D,"[[36, 70]]",actuações individuais maravilhosas,Value(+),153,1,1,0
D,"[[72, 85]]",grandes jogos,Value(+),154,0,1,0
D,"[[88, 105]]",grandes surpresas,Value(+),155,0,1,1
D,"[[791, 821]]",A nossa campanha foi vitoriosa,Value(+),156,1,0,0
D,"[[823, 870]]",não porque ignorámos estas importantes questões,Value,157,1,0,0
D,"[[883, 919]]",apresentámos argumentos convincentes,Value(+),158,1,0,0
D,"[[921, 965]]",Nós transformámos cada desafio a nosso favor,Value(+),159,1,0,0
D,"[[967, 975]]",Ganhámos,Fact,160,0,0,0
D,"[[983, 1023]]",a nossa campanha foi vista como a melhor,Fact,161,2,0,0
D,"[[1220, 1254]]",Os membros da FIFA entenderam isso,Value(+),162,0,0,0
D,"[[1257, 1315]]",interessaram-se em levar o campeonato para uma região nova,Value(+),163,1,0,1
D,"[[1026, 1124]]",A história do futebol do Qatar pode até ser mais recente do que a da Europa ou a da América do Sul,Fact,164,1,1,0
D,"[[1130, 1218]]","tanto no nosso país como no Médio Oriente, a paixão por esse desporto é igualmente forte",Fact,165,1,1,0
D,"[[2270, 2299]]",encarámos fortes concorrentes,Value,166,1,0,1
D,"[[2308, 2405]]",tanto os Estados Unidos como o Japão e a Coreia do Sul sediaram recentemente o Mundial de Futebol,Fact,167,1,1,0
D,"[[2407, 2463]]",A Austrália tem uma tradição desportiva muito importante,Fact,168,1,0,0
D,"[[2469, 2509]]",o futebol não é o seu desporto número um,Value,169,0,0,0
D,"[[2511, 2581]]",Uma final nesse país implicaria longas viagens e custos significativos,Fact,170,1,2,0
D,"[[2601, 2696]]",mais de 2 mil milhões de fãs de futebol estão a apenas quatro horas de voo do aeroporto de Doha,Fact,171,0,0,0
D,"[[3034, 3111]]",a ideia de ter estádios com ar condicionado pode parecer uma ideia fantasiosa,Value(-),172,1,3,0
D,"[[3117, 3190]]",desde 2008 contamos com sistemas de refrigeração para eventos ao ar livre,Fact,173,0,1,0
D,"[[3963, 3999]]",Não temos nada a temer ou a esconder,Value,174,1,1,1
D,"[[3879, 3961]]",queremos cooperar plenamente com a investigação da FIFA ao processo de candidatura,Value(+),175,1,0,0
D,"[[3687, 3861]]","Desde o dia em que lançámos a nossa proposta de candidatura até ao dia em que o nome do nosso país foi revelado no envelope em Zurique, respeitámos estritamente o regulamento",Value(+),176,1,0,0
D,"[[3422, 3503]]",investimos mais dinheiro na nossa campanha se compararmos com outras candidaturas,Fact,177,0,0,0
D,"[[3509, 3590]]",foi somente com o objectivo de alcançar o nível dos nossos rivais mais conhecidos,Value,178,2,2,1
D,"[[3592, 3639]]",Tivemos de dar a conhecer ao mundo o nosso país,Fact,179,2,0,1
D,"[[3642, 3685]]",informar as pessoas do que podemos oferecer,Fact,180,0,0,2
D,"[[4812, 4869]]",regressam aos seus países com olhos e mentes mais abertos,Value(+),181,0,1,0
D,"[[4739, 4792]]",Fãs de todos os cantos do mundo formam novas amizades,Value(+),182,2,0,0
D,"[[4661, 4737]]",o Mundial de Futebol tem uma capacidade notável para unir pessoas e culturas,Fact,183,1,2,0
A,"[[1075, 1154]]",A história do futebol está cheia de episódios semelhantes ao ocorrido na Sérvia,Value,184,0,2,0
A,"[[1309, 1473]]","Em 1937, em Espanha, perante o avanço de Franco, vários jogadores bascos desertaram dos seus clubes e formaram uma equipa pretensamente representativa do País Basco",Fact,185,2,0,0
A,"[[1597, 1767]]","Em 1958, trinta e dois jogadores de origem argelina abandonaram a França e os clubes em que jogavam e constituíram a “seleção” da Frente de Libertação Nacional da Argélia",Fact,186,0,1,0
A,"[[1769, 1939]]","Em 1969, numa sequência de jogos entre El Salvador e as Honduras, a hostilidade entre os dois países resultou numa guerra de quatro dias que vitimou cerca de 6000 pessoas",Fact,187,0,0,0
A,"[[1161, 1307]]","em 1934, na segunda edição do campeonato do mundo, disputado em Itália, Mussolini utilizou a seleção transalpina para fazer a apologia do fascismo",Fact,188,1,2,1
A,"[[1941, 2111]]","Nesse mesmo ano, em Portugal, a final da Taça no Estádio Nacional foi convertida em cenário de contestação ao Estado Novo por parte da Académica de Coimbra e seus adeptos",Fact,189,2,5,0
A,"[[2113, 2274]]","Em 1986, quando a Argentina eliminou a Inglaterra no Mundial do México, os dois golos de Maradona tiveram o sabor da vingança pela derrota na guerra das Malvinas",Fact,190,0,1,0
A,"[[2276, 2490]]","Em 1990, incidentes no jogo entre o Dínamo de Zagreb e o Estrela Vermelha de Belgrado, os clubes mais representativos da Croácia e da Sérvia, constituem simbolicamente o inicio da guerra da independência da Croácia",Fact,191,1,1,0
A,"[[3031, 3121]]",Não está em causa a realização do jogo Sérvia/Albânia por ser classificado de “alto risco”,Value,192,1,1,0
A,"[[3123, 3176]]",Se assim fosse muitos outros jogos não se realizariam,Value,193,0,0,0
A,"[[4726, 4754]]",não se joga apenas por jogar,Value,194,1,0,0
A,"[[4634, 4714]]","não são apenas as equipas que estão em causa, mas também as comunidades e nações",Value,195,1,0,0
A,"[[4274, 4374]]",seria inevitável não haver uma dimensão política a mediar esta forma de relacionamento internacional,Value,196,1,2,1
A,"[[4168, 4205]]",globalização da competição desportiva,Value,197,0,0,0
A,"[[4208, 4272]]",o consequente encontro de equipas que representam Estados-nações,Value,198,1,0,0
B,"[[0, 50]]",O futebol sempre foi um jogo aparentemente simples,Value,199,0,1,0
B,"[[52, 69]]",Jogado com os pés,Fact,200,0,0,1
B,"[[71, 119]]",duas equipas de onze jogadores disputam uma bola,Fact,201,0,0,0
B,"[[120, 156]]",em conformidade com dezassete regras,Fact,202,0,0,0
B,"[[158, 225]]",Ganha o jogo quem introduzir mais vezes a bola na baliza adversária,Fact,203,0,1,1
B,"[[376, 461]]",os responsáveis pela gestão do futebol sempre proclamaram a modalidade como apolítica,Value,204,1,0,0
B,"[[291, 374]]","Baseando-se nessa simplicidade, bem como em valores de ética desportiva e fair-play",Value,205,1,0,1
B,"[[1075, 1154]]",A história do futebol está cheia de episódios semelhantes ao ocorrido na Sérvia,Value,206,0,2,0
B,"[[1156, 1307]]","Logo em 1934, na segunda edição do campeonato do mundo, disputado em Itália, Mussolini utilizou a seleção transalpina para fazer a apologia do fascismo",Fact,207,1,2,1
B,"[[1309, 1595]]","Em 1937, em Espanha, perante o avanço de Franco, vários jogadores bascos desertaram dos seus clubes e formaram uma equipa pretensamente representativa do País Basco, com o objetivo de disputarem vários jogos internacionais e assim recolherem fundos e chamarem a atenção para a sua causa",Fact,208,2,1,0
B,"[[1597, 1767]]","Em 1958, trinta e dois jogadores de origem argelina abandonaram a França e os clubes em que jogavam e constituíram a “seleção” da Frente de Libertação Nacional da Argélia",Fact,209,0,1,0
B,"[[1769, 1939]]","Em 1969, numa sequência de jogos entre El Salvador e as Honduras, a hostilidade entre os dois países resultou numa guerra de quatro dias que vitimou cerca de 6000 pessoas",Fact,210,0,0,0
B,"[[1941, 2111]]","Nesse mesmo ano, em Portugal, a final da Taça no Estádio Nacional foi convertida em cenário de contestação ao Estado Novo por parte da Académica de Coimbra e seus adeptos",Fact,211,2,5,0
B,"[[2113, 2274]]","Em 1986, quando a Argentina eliminou a Inglaterra no Mundial do México, os dois golos de Maradona tiveram o sabor da vingança pela derrota na guerra das Malvinas",Fact,212,0,1,0
B,"[[2276, 2490]]","Em 1990, incidentes no jogo entre o Dínamo de Zagreb e o Estrela Vermelha de Belgrado, os clubes mais representativos da Croácia e da Sérvia, constituem simbolicamente o inicio da guerra da independência da Croácia",Fact,213,1,1,0
B,"[[2588, 2614]]",Cientes desta “intimidade”,Value,214,1,0,0
B,"[[2616, 2649], [2708, 2797]]","a UEFA, já nesta época de 2014/15 determinou que não se realizassem jogos das competições europeias em território israelita",Fact,215,0,2,0
B,"[[2800, 2877]]",condicionou o sorteio para que clubes ucranianos e russos não se encontrassem,Fact,216,0,1,0
B,"[[2651, 2706]]",em face de vários cenários de tensão política e militar,Value,217,0,2,0
B,"[[2879, 3028]]","Também para a qualificação do Euro 2016 o sorteio foi condicionado para que Arménia e Azerbeijão, bem como Espanha e Gibraltar, não jogassem entre si",Fact,218,0,1,0
B,"[[3031, 3121]]",Não está em causa a realização do jogo Sérvia/Albânia por ser classificado de “alto risco”,Value,219,1,1,0
B,"[[3123, 3176]]",Se assim fosse muitos outros jogos não se realizariam,Value,220,0,0,0
B,"[[3184, 3264]]",a rivalidade e a tensão que lhes estão associadas também os classificam como tal,Value,221,0,0,1
B,"[[3266, 3361]]",O que está em causa é a afirmação recorrente de que futebol e política não têm qualquer ligação,Value,222,0,2,0
B,"[[3370, 3400]]",a realidade revela o contrário,Value,223,0,0,1
B,"[[3623, 3716]]",Retirar a expressão política do futebol é retirar-lhe uma das componentes que lhe dão sentido,Value,224,1,1,2
B,"[[3739, 3927]]","nos primórdios do movimento olímpico, o barão de Coubertain entendeu que o desporto tinha uma importante função política, nomeadamente ao nível diplomático de promoção da paz internacional",Value(+),225,2,3,0
B,"[[4166, 4205]]",a globalização da competição desportiva,Fact,226,0,0,0
B,"[[4208, 4272]]",o consequente encontro de equipas que representam Estados-nações,Fact,227,1,0,0
